ApplicationType,LoanGoal,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment
New credit,Existing loan takeover,20000.0,979,0.0,13.248566,20000.0,498.29,44,20000.0,815,1,3,9,1
New credit,Home improvement,10000.0,899,0.017317,6.13447,500.0,200.0,33,6000.0,431,1,3,11,0
New credit,Home improvement,15000.0,1059,0.061376,12.819864,15000.0,158.98,120,15000.0,790,1,2,12,1
New credit,Car,5000.0,834,0.113641,26.988859,3726.0,252.73,72,15700.0,1240,1,1,8,1
New credit,Home improvement,35000.0,899,0.131123,31.750191,35000.0,366.08,120,35000.0,340,1,2,9,0
New credit,Existing loan takeover,13000.0,899,0.134775,58.746863,400.0,143.91,120,13000.0,36,1,5,11,0
New credit,Existing loan takeover,7000.0,899,0.146579,8.101776,8304.0,195.73,40,7000.0,511,1,4,12,1
New credit,Home improvement,15000.0,899,0.155684,9.830169,328.0,211.9,84,15000.0,48,1,5,14,0
New credit,Car,15000.0,799,0.181953,20.743227,14007.0,282.96,60,15000.0,737,1,1,10,1
New credit,Car,11000.0,899,0.188959,31.692517,8304.0,220.0,57,11000.0,54,1,5,15,0
New credit,"Other, see explanation",5000.0,835,0.202331,25.779887,8304.0,250.0,22,5000.0,1243,1,1,11,1
New credit,"Other, see explanation",5000.0,899,0.256089,31.625412,8304.0,120.0,94,9000.0,348,1,2,10,0
New credit,Car,6850.0,1021,0.271936,9.721719,6900.0,150.73,53,6900.0,533,1,4,15,1
New credit,Existing loan takeover,29500.0,899,0.296915,58.58488,8304.0,215.0,127,21500.0,53,1,5,15,0
New credit,Home improvement,6000.0,770,0.300711,10.828159,6000.0,78.44,100,6000.0,674,1,0,12,1
New credit,Remaining debt home,40000.0,899,0.302493,31.578834,8304.0,400.0,126,40000.0,54,1,5,15,0
New credit,Car,5000.0,899,0.33832,9.806399,8304.0,50.0,138,5000.0,633,1,0,7,0
New credit,Not speficied,5000.0,899,0.390302,6.615548,5000.0,153.68,36,5000.0,114,1,0,8,0
New credit,Car,15000.0,899,0.394082,31.487313,8304.0,150.0,127,15000.0,54,1,5,15,0
New credit,Existing loan takeover,15000.0,1004,0.474426,12.724751,12150.0,150.0,127,15000.0,494,1,4,8,0
New credit,Not speficied,17000.0,875,0.481217,51.534775,8304.0,468.32,60,25000.0,1200,1,0,11,1
New credit,Home improvement,17000.0,899,0.50434,20.415311,15000.0,274.92,62,15000.0,790,1,2,11,1
New credit,Car,7000.0,899,0.637202,23.378155,8304.0,247.52,80,0.0,384,1,2,17,0
New credit,Car,5000.0,1063,0.962342,11.146515,5000.0,119.02,48,5000.0,795,1,2,9,1
New credit,Home improvement,10000.0,899,0.962365,9.029532,6000.0,284.0,57,14200.0,494,1,4,8,0
New credit,Car,10000.0,899,0.972826,57.909002,8304.0,120.0,58,6000.0,27,1,5,9,0
New credit,Car,7500.0,899,0.98112,5.172226,8304.0,200.0,42,7500.0,120,1,0,8,0
New credit,Car,12000.0,899,0.983201,57.898641,12000.0,298.1,45,12000.0,146,1,0,11,0
New credit,Home improvement,6000.0,899,0.987453,55.90472,8304.0,247.52,80,0.0,432,1,3,12,0
New credit,Car,6000.0,899,1.017047,30.376993,6000.0,148.24,46,6000.0,118,1,0,8,0
New credit,Unknown,0.0,809,1.02439,24.979565,27000.0,402.36,78,27000.0,1086,1,4,9,1
New credit,Car,15000.0,899,1.052359,46.196623,8304.0,150.0,127,15000.0,1786,2,0,13,1
New credit,Caravan / Camper,6600.0,1018,1.054734,6.205362,8304.0,140.0,87,10000.0,510,1,4,12,1
New credit,Car,20000.0,812,1.064141,13.024094,20000.0,200.0,127,20000.0,796,1,2,9,0
New credit,Car,15000.0,899,1.066511,57.815493,13164.0,282.96,60,15000.0,124,1,0,9,0
New credit,Car,20000.0,899,1.070039,12.155672,20000.0,200.0,127,20000.0,797,1,2,14,1
New credit,Home improvement,10000.0,895,1.089532,16.028076,8304.0,200.0,57,10000.0,790,1,2,13,1
New credit,Car,6000.0,899,1.092527,9.95208,8304.0,250.0,26,6000.0,647,1,0,9,1
Limit raise,Existing loan takeover,9000.0,899,1.106527,9.99243,1500.0,150.0,72,9000.0,639,1,0,8,0
Limit raise,"Other, see explanation",15000.0,859,1.113769,8.916884,8304.0,200.0,89,15000.0,495,1,4,8,0
Limit raise,Home improvement,15000.0,899,1.116323,12.827996,8304.0,300.0,56,15000.0,792,1,2,10,1
Limit raise,Home improvement,0.0,899,1.127315,32.754139,8304.0,200.0,57,10000.0,495,1,4,8,0
New credit,Existing loan takeover,15400.0,933,1.133141,29.796835,4254.0,301.97,66,17400.0,1313,1,4,9,1
