trace_id,event:start_weekday,trace:cycle_time,adaptation_action,adaptation_action_recommendation,hit
200,2,199.1904806,no-action,no-action,1
201,2,235.16089766666667,no-action,no-action,1
202,2,257.36502303333333,skip,no-action,0
203,2,1122.573675116667,skip,no-action,0
204,2,1160.2392028333334,skip,no-action,0
205,3,1254.20184265,skip,no-action,0
206,3,268.71170863333333,skip,no-action,0
207,3,243.5766889666667,no-action,no-action,1
208,2,1241.00484605,skip,no-action,0
209,2,221.18189881666663,no-action,no-action,1
210,3,240.3181564,no-action,no-action,1
211,3,230.39574235,no-action,no-action,1
212,2,219.91992821666668,insert,no-action,0
213,3,239.12662315,no-action,no-action,1
214,3,254.78931175,skip,no-action,0
215,3,209.46057585,no-action,no-action,1
216,3,209.76331115,insert,no-action,0
217,3,212.53409166666663,no-action,no-action,1
218,3,259.96314036666666,skip,no-action,0
219,3,1165.877147616667,skip,no-action,0
220,3,1200.5806450333334,skip,no-action,0
221,3,1187.43103995,skip,no-action,0
222,4,249.0736919,no-action,no-action,1
223,0,217.54385435,no-action,no-action,1
224,1,1010.3401079166666,skip,no-action,0
225,4,242.6617070833333,no-action,no-action,1
226,4,267.0320424166667,skip,no-action,0
227,3,217.61761985,no-action,no-action,1
228,3,214.0085702,insert,no-action,0
229,4,220.5767995,no-action,no-action,1
230,4,257.0122506833333,skip,no-action,0
231,4,234.39656778333327,no-action,no-action,1
232,4,200.72995513333333,no-action,no-action,1
233,4,218.04007601666663,no-action,no-action,1
234,4,236.4218106833333,no-action,no-action,1
235,1,4129.45359615,skip,no-action,0
236,4,4049.4248022666666,skip,no-action,0
237,4,3683.8747978666665,skip,no-action,0
238,4,242.5677863333333,no-action,no-action,1
239,4,222.7626524,no-action,no-action,1
240,4,3706.7004455166666,skip,no-action,0
241,0,216.92604176666663,no-action,no-action,1
242,0,255.8246869333333,skip,no-action,0
243,0,238.2961911833333,no-action,no-action,1
244,4,224.5983474333333,insert,no-action,0
245,4,221.81334376666663,no-action,no-action,1
246,2,231.20900026666664,no-action,no-action,1
247,0,228.31606736666663,no-action,no-action,1
248,0,208.39849676666665,no-action,no-action,1
249,0,237.7408595333333,no-action,no-action,1
250,0,257.6293929,skip,no-action,0
251,0,1232.2703322833331,skip,no-action,0
252,0,1111.6832161,skip,no-action,0
253,0,1191.7188857166666,skip,no-action,0
254,0,260.84660845,skip,no-action,0
255,0,240.92452158333333,no-action,no-action,1
256,0,1205.6248902333334,skip,no-action,0
257,2,213.70179626666663,no-action,no-action,1
258,0,236.6225649,no-action,no-action,1
259,1,217.4830855333333,no-action,no-action,1
260,1,204.15796011666663,no-action,no-action,1
261,1,232.40111388333327,no-action,no-action,1
262,0,267.46235115,skip,no-action,0
263,0,215.65913701666668,no-action,no-action,1
264,1,210.6873796333333,insert,no-action,0
265,1,208.19402841666667,no-action,no-action,1
266,1,258.44534308333334,skip,no-action,0
267,1,1221.90487665,skip,no-action,0
268,2,1249.6510581,skip,no-action,0
269,1,1184.3842119166666,skip,no-action,0
270,1,235.48130798333327,no-action,no-action,1
271,1,215.45153893333327,no-action,no-action,1
272,1,1150.1596187333334,skip,no-action,0
273,1,239.70457553333333,no-action,no-action,1
274,1,269.58961841666667,skip,no-action,0
275,1,218.69595265,no-action,no-action,1
276,2,208.81756781666667,insert,no-action,0
277,2,227.22809526666663,no-action,no-action,1
278,2,248.76276145,no-action,no-action,1
279,2,244.1296587,no-action,no-action,1
280,1,217.42445706666663,insert,no-action,0
281,1,209.49287176666667,no-action,no-action,1
282,2,238.99471481666663,no-action,no-action,1
283,2,1219.9857546666667,skip,no-action,0
284,2,1230.8836330333334,skip,no-action,0
285,2,1215.8242805666666,skip,no-action,0
286,2,268.81448901666664,skip,no-action,0
287,2,233.39130433333327,no-action,no-action,1
288,2,1158.7829699833333,skip,no-action,0
289,2,219.0631897,no-action,no-action,1
290,2,266.36273746666666,skip,no-action,0
291,2,234.14071741666663,no-action,no-action,1
292,2,201.91707071666667,no-action,no-action,1
293,2,206.29402858333333,no-action,no-action,1
294,3,245.3884931,no-action,no-action,1
295,3,211.2926756,no-action,no-action,1
296,3,211.39049065,no-action,no-action,1
297,2,247.08057421666663,no-action,no-action,1
298,2,264.2649776,skip,no-action,0
299,3,1154.8792392333332,skip,no-action,0
