ApplicationType_Limit raise,ApplicationType_New credit,LoanGoal_Car,LoanGoal_Caravan / Camper,LoanGoal_Existing loan takeover,LoanGoal_Extra spending limit,LoanGoal_Home improvement,LoanGoal_Motorcycle,LoanGoal_Not speficied,LoanGoal_Other see explanation,LoanGoal_Remaining debt home,LoanGoal_Unknown,LoanGoal_other,RequestedAmount,CreditScore,timesincefirstcase,duration,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferedAmount,open_cases,month,weekday,hour,treatment,adaptation_action_recommendation,hit
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,787,246.396428,30.561832,10000.0,292.56,37,10000.0,2255,9,4,10,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,26000.0,951,246.463816,24.505298,781.0,380.54,78,26000.0,2385,9,1,11,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,246.691561,36.147969,58000.0,918.43,96,75000.0,2313,9,3,7,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,37000.0,858,246.882478,49.965497,8637.0,376.74,120,37000.0,2289,10,4,5,1,1,1
0,1,0,0,0,0,0,0,1,0,0,0,0,13000.0,899,246.928459,3.127587,13000.0,245.8,60,13000.0,2308,9,2,11,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,5000.0,899,246.929019,12.190535,5000.0,152.82,36,5000.0,2411,9,3,12,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,15000.0,987,246.94194,16.960451,15000.0,223.36,77,15000.0,2503,9,0,12,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,5000.0,899,246.971027,32.868831,5000.0,222.31,24,5000.0,2304,9,1,17,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,42500.0,930,246.986938,25.269992,832.0,785.03,60,42500.0,2311,9,2,13,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,6000.0,899,246.996579,32.192461,6000.0,517.27,12,6000.0,2419,9,2,6,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,956,247.029073,10.095835,15000.0,296.2,56,15000.0,2374,9,2,9,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,842,247.033128,21.840823,10000.0,189.08,60,10000.0,2316,9,0,9,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,5000.0,899,247.042605,34.797211,8304.0,75.0,81,5000.0,2307,9,3,9,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,7000.0,899,247.049713,11.788919,8304.0,75.0,125,7000.0,2406,9,3,8,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,12500.0,899,247.075527,15.900783,10600.0,156.17,120,15200.0,2299,9,3,12,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,1,10000.0,899,247.079233,12.075233,7000.0,78.82,120,7000.0,2378,9,2,8,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,899,247.09083,33.748984,15000.0,278.38,60,15000.0,2340,9,0,16,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,20900.0,899,247.091225,10.237103,2592.0,474.84,48,20900.0,2332,9,2,18,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,14000.0,899,247.101036,49.785278,8304.0,278.0,61,15000.0,2273,10,4,18,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,20000.0,899,247.124362,33.715361,1119.0,302.52,80,21000.0,2308,9,2,9,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,15000.0,988,247.138651,15.805829,11558.0,178.84,100,15000.0,2558,9,1,7,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,40000.0,947,247.150698,14.292743,40000.0,400.0,126,40000.0,2306,9,2,13,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,15000.0,1007,247.156295,9.721681,15000.0,278.38,60,15000.0,2336,9,1,8,1,1,1
0,1,0,0,1,0,0,0,0,0,0,0,0,7000.0,899,247.167709,14.992916,8304.0,300.0,37,10000.0,2355,9,0,18,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,12690.0,899,247.183342,32.656286,5500.0,71.97,98,5500.0,2310,9,1,9,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,50000.0,899,247.185397,33.654288,50000.0,509.11,120,50000.0,2310,9,2,13,0,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,45000.0,899,247.190755,5.815741,40000.0,407.29,120,40000.0,2263,9,0,13,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,10000.0,727,247.196646,10.808328,10000.0,197.83,57,10000.0,2400,9,3,8,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,20000.0,899,247.202623,0.83599,5248.0,345.59,65,20000.0,2271,9,0,10,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,35000.0,899,247.207079,33.632586,8304.0,356.38,120,35000.0,2306,9,2,13,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,6900.0,972,247.224445,9.890415,6900.0,124.02,66,6900.0,2378,9,2,8,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,11500.0,969,247.227343,17.599644,11500.0,122.43,120,11500.0,2374,9,2,9,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,10000.0,886,247.233203,17.634059,10000.0,106.46,120,10000.0,2333,9,0,12,1,1,1
