trace_id,event:start_weekday,trace:cycle_time,adaptation_action,adaptation_action_recommendation,hit
660,3,207.42985311666664,insert,no-action,0
661,3,221.36259715,no-action,no-action,1
662,3,256.7613353666667,skip,no-action,0
663,3,246.59341116666667,no-action,no-action,1
664,3,224.59503176666664,insert,no-action,0
665,3,211.87790091666668,no-action,no-action,1
666,4,243.35326436666668,no-action,no-action,1
667,0,1206.692461783333,skip,no-action,0
668,4,1171.491648683333,skip,no-action,0
669,4,1136.782658783333,skip,no-action,0
670,4,259.04802831666666,skip,no-action,0
671,3,211.69610233333333,no-action,no-action,1
672,3,1193.5467696333333,skip,no-action,0
673,4,223.98620631666665,no-action,no-action,1
674,4,260.62224258333333,skip,no-action,0
675,4,243.20604991666667,no-action,no-action,1
676,4,207.9337632,no-action,no-action,1
677,4,220.46297726666663,no-action,no-action,1
678,4,233.54066725,no-action,no-action,1
679,4,217.1993344,no-action,no-action,1
680,4,204.60481331666668,no-action,no-action,1
681,4,244.30436715,no-action,no-action,1
682,4,262.7071186833333,skip,no-action,0
683,4,1186.0412483666669,skip,no-action,0
684,4,1200.6242036166666,skip,no-action,0
685,0,1177.9848013333333,skip,no-action,0
686,0,264.45847246666665,skip,no-action,0
687,0,240.16090595,no-action,no-action,1
688,4,1149.0307500666668,skip,no-action,0
689,4,224.78786326666668,no-action,no-action,1
690,4,237.2693563,no-action,no-action,1
691,0,217.69968505,no-action,no-action,1
692,0,204.87445473333327,no-action,no-action,1
693,0,251.53212743333333,skip,no-action,0
694,0,271.3436643333333,skip,no-action,0
695,0,214.02863553333333,no-action,no-action,1
696,0,208.78776776666663,insert,no-action,0
697,0,214.44390758333333,no-action,no-action,1
698,0,256.69899011666666,skip,no-action,0
699,0,1215.9028928833334,skip,no-action,0
700,0,1146.4934611666667,skip,no-action,0
701,4,1034.7216709833333,skip,no-action,0
702,0,239.97990306666668,no-action,no-action,1
703,1,220.6414783833333,no-action,no-action,1
704,1,1284.1007233333332,skip,no-action,0
705,1,241.316998,no-action,no-action,1
706,0,243.0939818333333,no-action,no-action,1
707,0,216.74493041666668,no-action,no-action,1
708,1,206.9944215,insert,no-action,0
709,1,237.47243398333333,no-action,no-action,1
710,1,268.55945835,skip,no-action,0
711,1,242.8732086333333,no-action,no-action,1
712,4,199.3729601333333,no-action,no-action,1
713,1,224.39616726666668,no-action,no-action,1
714,1,237.81751186666668,no-action,no-action,1
715,1,4142.256351516667,skip,no-action,0
716,1,4336.19575595,skip,no-action,0
717,1,4823.8263406333335,skip,no-action,0
718,1,241.56297521666667,no-action,no-action,1
719,1,218.7221317,no-action,no-action,1
720,2,3989.848702,skip,no-action,0
721,2,216.5622598,no-action,no-action,1
722,2,256.35019875,skip,no-action,0
723,0,237.90842266666667,no-action,no-action,1
724,1,219.3785255333333,insert,no-action,0
725,1,233.9340608333333,no-action,no-action,1
726,2,256.9695089666667,skip,no-action,0
727,2,218.66409776666663,no-action,no-action,1
728,2,196.08236945,no-action,no-action,1
729,2,235.91999078333333,no-action,no-action,1
730,2,248.96998416666668,no-action,no-action,1
731,2,1186.2840058333334,skip,no-action,0
732,2,1141.1496834666666,skip,no-action,0
733,2,1172.0218432666666,skip,no-action,0
734,0,255.8070168833333,skip,no-action,0
735,2,253.24149405,skip,no-action,0
736,2,1222.9558779833333,skip,no-action,0
737,2,224.89997413333333,no-action,no-action,1
738,3,220.55211541666668,no-action,no-action,1
739,3,212.4759766333333,no-action,no-action,1
740,3,195.1053607,no-action,no-action,1
741,2,246.91925455,no-action,no-action,1
742,2,263.0564733,skip,no-action,0
743,3,221.89107246666663,no-action,no-action,1
744,3,204.91231461666663,insert,no-action,0
745,0,229.5810460833333,no-action,no-action,1
746,3,258.1411732166667,skip,no-action,0
747,3,1248.83969975,skip,no-action,0
748,3,1012.9068327166668,skip,no-action,0
749,3,1142.3920760833332,skip,no-action,0
750,3,247.32563495,no-action,no-action,1
751,3,218.2387573,no-action,no-action,1
752,3,1191.392179,skip,no-action,0
753,3,227.3281564,no-action,no-action,1
754,3,259.59146955,skip,no-action,0
755,4,220.11187711666668,no-action,no-action,1
756,4,219.41834033333333,insert,no-action,0
757,4,223.8757748333333,no-action,no-action,1
758,4,250.87650945,skip,no-action,0
759,3,250.41190458333327,skip,no-action,0
760,3,201.6630190333333,no-action,no-action,1
761,4,220.19103773333333,no-action,no-action,1
762,4,241.09008373333333,no-action,no-action,1
763,4,1182.2008452333334,skip,no-action,0
764,4,1195.1816809,skip,no-action,0
765,4,1119.6827733333334,skip,no-action,0
766,4,256.62487683333336,skip,no-action,0
767,4,217.0761204833333,no-action,no-action,1
768,4,1172.4689528666668,skip,no-action,0
769,4,226.7270021333333,no-action,no-action,1
770,4,270.1964028333333,skip,no-action,0
771,4,228.41602031666667,no-action,no-action,1
772,4,216.70797115,insert,no-action,0
773,0,228.5670428,no-action,no-action,1
774,0,240.78777158333327,no-action,no-action,1
775,0,226.50746866666665,no-action,no-action,1
776,4,198.9984302833333,no-action,no-action,1
777,4,237.25132163333333,no-action,no-action,1
778,0,261.5145313333333,skip,no-action,0
779,0,1151.5868779666666,skip,no-action,0
780,0,1097.9335886666668,skip,no-action,0
781,0,1204.8893427833334,skip,no-action,0
782,0,262.12512941666665,skip,no-action,0
783,0,237.24331245,no-action,no-action,1
784,0,1237.5344783333333,skip,no-action,0
785,0,213.56517388333333,no-action,no-action,1
786,0,236.24591701666668,no-action,no-action,1
787,0,216.43273491666667,no-action,no-action,1
788,0,202.19086215,no-action,no-action,1
789,0,240.28942021666663,no-action,no-action,1
790,0,260.12452765,skip,no-action,0
791,0,214.93000896666663,no-action,no-action,1
792,1,217.5876294,insert,no-action,0
793,1,232.95971926666667,no-action,no-action,1
794,1,264.9557743666667,skip,no-action,0
795,0,4377.6822638,skip,no-action,0
796,0,3611.1489088,skip,no-action,0
797,1,4692.232912333333,skip,no-action,0
798,1,226.21305053333333,no-action,no-action,1
799,1,220.8774386,no-action,no-action,1
800,1,4123.512730083334,skip,no-action,0
801,0,239.92628643333333,no-action,no-action,1
802,1,260.0872851666667,skip,no-action,0
803,1,210.98874961666667,no-action,no-action,1
804,1,214.28008123333333,insert,no-action,0
805,1,234.62203023333333,no-action,no-action,1
806,1,258.88234545,skip,no-action,0
807,1,235.91591596666663,no-action,no-action,1
808,1,196.53299945,no-action,no-action,1
809,2,226.1290492333333,no-action,no-action,1
810,2,246.58349235,no-action,no-action,1
811,2,1067.84401545,skip,no-action,0
